"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"South Jersey Center for Dental Medicine",,"525 NJ-73 STE 105, Marlton, NJ 08053","525 NJ-73 STE 105","Marlton, NJ 08053","Dentist, Cosmetic dentist, Dental clinic, Dental implants provider, Emergency dental service, Orthodontist, Teeth whitening service","America/New_York",,"(856) 596-4333","(856) 596-4333, +1 856-596-4333","YES",304,5,"https://search.google.com/local/reviews?placeid=ChIJn-e3CAgzwYkReTVPx-WgwFY&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6251173191542060409",39.8761272,-74.9229843,"https://www.marltoncosmeticdentist.com/","marltoncosmeticdentist.com","Thursday: [7:30 AM-5 PM], Friday: [Closed], Saturday: [8:30 AM-1:30 PM], Sunday: [Closed], Monday: [11 AM-8 PM], Tuesday: [9 AM-6 PM], Wednesday: [8 AM-5 PM]","https://lh5.googleusercontent.com/p/AF1QipPnEeqkJcfu48QvM3_w5LCY9drpA2nf_uFJcJRy=w163-h92-k-no","6251173191542060409","0x89c1330808b7e79f:0x56c0a0e5c74f3579","ChIJn-e3CAgzwYkReTVPx-WgwFY"
"Lakeview Dental Care of Gibbsboro",,"63 Lakeview Dr N # 101, Gibbsboro, NJ 08026","63 Lakeview Dr N # 101","Gibbsboro, NJ 08026","Dentist, Cosmetic dentist, Dental clinic, Emergency dental service, Endodontist, Oral surgeon, Orthodontist, Pediatric dentist, Periodontist, Teeth whitening service","America/New_York",,"(856) 784-7900","(856) 784-7900, +1 856-784-7900","YES",987,4.8,"https://search.google.com/local/reviews?placeid=ChIJXUYfqTLNxokRzqNsqcl2_ac&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12104961981944734670",39.8430002,-74.9679245,"https://www.lakeviewdentalcare.com/location/gibbsboro/?utm_source=gmb&utm_medium=Google%20My%20Business&utm_campaign=gibbsboro","lakeviewdentalcare.com","Thursday: [7:30 AM-7:30 PM], Friday: [8 AM-2 PM], Saturday: [8 AM-2 PM], Sunday: [Closed], Monday: [7:30 AM-7:30 PM], Tuesday: [7:30 AM-7:30 PM], Wednesday: [7:30 AM-7:30 PM]","https://lh5.googleusercontent.com/p/AF1QipPABwZ3V4aj5eD-stLDk61vmFHRywZnGGVlY1wi=w80-h106-k-no","12104961981944734670","0x89c6cd32a91f465d:0xa7fd76c9a96ca3ce","ChIJXUYfqTLNxokRzqNsqcl2_ac"
"Lakeview Dental Care of Cherry Hill",,"101 Marlton Pike East, Cherry Hill Township, NJ 08034","101 Marlton Pike East","Cherry Hill Township, NJ 08034","Dentist, Cosmetic dentist, Dental clinic, Emergency dental service, Endodontist, Oral surgeon, Orthodontist, Pediatric dentist, Periodontist, Teeth whitening service","America/New_York",,"(856) 424-3335","(856) 424-3335, +1 856-424-3335","YES",958,4.8,"https://search.google.com/local/reviews?placeid=ChIJq2ZzRKE0wYkR1yP5HXYQEmA&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=6922613676716925911",39.913097199999996,-75.0082173,"https://www.lakeviewdentalcare.com/location/cherry-hill/?utm_source=gmb&utm_medium=Google%20My%20Business&utm_campaign=cherry_hill","lakeviewdentalcare.com","Thursday: [7:30 AM-7:30 PM], Friday: [8 AM-2 PM], Saturday: [8 AM-2 PM], Sunday: [Closed], Monday: [2:30-7:30 PM], Tuesday: [7:30 AM-7:30 PM], Wednesday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipOG6NaT5nPbiDmhl6c_hoVTz9qO57QqiAPtp0Qv=w138-h92-k-no","6922613676716925911","0x89c134a1447366ab:0x601210761df923d7","ChIJq2ZzRKE0wYkR1yP5HXYQEmA"
"Lakeview Dental Care of Haddon Heights",,"209 White Horse Pike, Haddon Heights, NJ 08035","209 White Horse Pike","Haddon Heights, NJ 08035","Dentist, Cosmetic dentist, Dental clinic, Emergency dental service, Endodontist, Oral surgeon, Orthodontist, Pediatric dentist, Periodontist, Teeth whitening service","America/New_York",,"(856) 546-0665","(856) 546-0665, +1 856-546-0665","YES",1200,4.8,"https://search.google.com/local/reviews?placeid=ChIJx3m7hCHMxokRNLAThyD-j-E&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16253488995862032436",39.882663799999996,-75.05594219999999,"https://www.lakeviewdentalcare.com/location/haddon-heights/?utm_source=gmb&utm_medium=Google%20My%20Business&utm_campaign=haddon_heights","lakeviewdentalcare.com","Thursday: [7:30 AM-7:30 PM], Friday: [8 AM-2 PM], Saturday: [8 AM-2 PM], Sunday: [Closed], Monday: [7:30 AM-7:30 PM], Tuesday: [7:30 AM-7:30 PM], Wednesday: [7:30 AM-7:30 PM]","https://lh5.googleusercontent.com/p/AF1QipOn9Lm16iXhoRbXY0ASSGOKi0xTMbc3aVb4OpaI=w153-h92-k-no","16253488995862032436","0x89c6cc2184bb79c7:0xe18ffe208713b034","ChIJx3m7hCHMxokRNLAThyD-j-E"
"Dental Arts of South Jersey",,"1001 Laurel Oak Rd STE C1, Voorhees Township, NJ 08043","1001 Laurel Oak Rd STE C1","Voorhees Township, NJ 08043","Dentist, Cosmetic dentist, Dental hygienist, Dental implants periodontist, Emergency dental service, Periodontist, Teeth whitening service","America/New_York",,"(856) 494-6035","(856) 494-6035, +1 856-494-6035","YES",506,4.8,"https://search.google.com/local/reviews?placeid=ChIJ02QloTrNxokRQY9DsWtqVDY&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=3914870986859843393",39.8431952,-74.979052,"https://www.dentalartsofsouthjersey.com/","dentalartsofsouthjersey.com","Thursday: [8 AM-5 PM], Friday: [8 AM-1 PM], Saturday: [Closed], Sunday: [Closed], Monday: [8 AM-5 PM], Tuesday: [8 AM-5 PM], Wednesday: [8 AM-5 PM]","https://lh5.googleusercontent.com/p/AF1QipNFo1-BB2IndDiOtO1r5YRMk3kYu64b68Vixs_0=w163-h92-k-no","3914870986859843393","0x89c6cd3aa12564d3:0x36546a6bb1438f41","ChIJ02QloTrNxokRQY9DsWtqVDY"
"Whitman Dental Center",,"2326 S 3rd St, Philadelphia, PA 19148","2326 S 3rd St","Philadelphia, PA 19148","Dental clinic, Cosmetic dentist, Dentist","America/New_York",,"(267) 459-2092","(267) 459-2092, +1 267-459-2092","YES",1056,4.9,"https://search.google.com/local/reviews?placeid=ChIJvSz45KrIxokRbceCU_o9Vv4&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=18326903878983010157",39.9188159,-75.15235419999999,"http://whitmandental.com/","whitmandental.com","Thursday: [9 AM-6 PM], Friday: [9 AM-6 PM], Saturday: [Closed], Sunday: [Closed], Monday: [9 AM-6 PM], Tuesday: [9 AM-6 PM], Wednesday: [9 AM-6 PM]","https://lh5.googleusercontent.com/p/AF1QipOrky497-wfaAy0m1Ekjf-LW61QZNFhvWp19h-R=w163-h92-k-no","18326903878983010157","0x89c6c8aae4f82cbd:0xfe563dfa5382c76d","ChIJvSz45KrIxokRbceCU_o9Vv4"
"Philadelphia Dental - Moyamensing Ave",,"1701 E Moyamensing Ave, Philadelphia, PA 19148","1701 E Moyamensing Ave","Philadelphia, PA 19148","Dentist","America/New_York",,"(215) 462-4047","(215) 462-4047, +1 215-462-4047","YES",796,5,"https://search.google.com/local/reviews?placeid=ChIJw_02_4HJxokR7e2K_lwL_a0&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=12537189431704743405",39.9268169,-75.15086699999999,"https://philadelphiadental.com/","philadelphiadental.com","Thursday: [10 AM-6 PM], Friday: [10 AM-6 PM], Saturday: [Closed], Sunday: [Closed], Monday: [10 AM-6 PM], Tuesday: [10 AM-6 PM], Wednesday: [10 AM-6 PM]","https://lh5.googleusercontent.com/p/AF1QipOhaOgYsIB_E-DVLugGtX_HDEhZQ60nL5Z7FMmB=w138-h92-k-no","12537189431704743405","0x89c6c981ff36fdc3:0xadfd0b5cfe8aeded","ChIJw_02_4HJxokR7e2K_lwL_a0"
"Deptford Family Dental",,"2000 Clements Bridge Rd, Deptford, NJ 08096","2000 Clements Bridge Rd","Deptford, NJ 08096","Dentist, Cosmetic dentist, Oral surgeon","America/New_York",,"(856) 848-6006","(856) 848-6006, +1 856-848-6006","YES",635,4.2,"https://search.google.com/local/reviews?placeid=ChIJq0C1rjzOxokRxy60JQqwL3o&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=8804449354161336007",39.841821499999995,-75.0924465,"http://deptfordfamilydental.com/","deptfordfamilydental.com","Thursday: [8 AM-5 PM], Friday: [8 AM-5 PM], Saturday: [Closed], Sunday: [Closed], Monday: [9 AM-6 PM], Tuesday: [8 AM-5 PM], Wednesday: [9 AM-6 PM]","https://lh5.googleusercontent.com/p/AF1QipObPJE5PUX0j2S3PTPXkCfGfzvBtbwx-j-QlRns=w138-h92-k-no","8804449354161336007","0x89c6ce3caeb540ab:0x7a2fb00a25b42ec7","ChIJq0C1rjzOxokRxy60JQqwL3o"
"Family Dental Care of South Jersey",,"707 County Rte 561 unit b, Voorhees Township, NJ 08043","707 County Rte 561 unit b","Voorhees Township, NJ 08043","Dentist","America/New_York",,"(856) 309-2244","(856) 309-2244, +1 856-309-2244","YES",1072,4.7,"https://search.google.com/local/reviews?placeid=ChIJTxlRdSfNxokRD6uXf2EQ-QM&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=286278062253255439",39.8526679,-74.9804388,"http://www.familydentalcareofsouthjersey.com/","familydentalcareofsouthjersey.com","Thursday: [9 AM-6 PM], Friday: [8 AM-2 PM], Saturday: [Closed], Sunday: [Closed], Monday: [9 AM-6 PM], Tuesday: [9 AM-6 PM], Wednesday: [9 AM-6 PM]","https://lh5.googleusercontent.com/p/AF1QipOT8vVHpdpDPTFm32snxxaTWBe5mK7emvzC5_3I=w80-h106-k-no","286278062253255439","0x89c6cd277551194f:0x3f910617f97ab0f","ChIJTxlRdSfNxokRD6uXf2EQ-QM"
"Cherry Hill Dental Excellence",,"31 Covered Bridge Rd, Cherry Hill Township, NJ 08034","31 Covered Bridge Rd","Cherry Hill Township, NJ 08034","Dentist, Cosmetic dentist, Dental implants provider","America/New_York",,"(856) 428-2550","(856) 428-2550, +1 856-428-2550","YES",550,5,"https://search.google.com/local/reviews?placeid=ChIJ87IST0LLxokROr-vzui-y-o&q=dental&authuser=0&hl=en&gl=US","https://www.google.com/maps?cid=16918826332256714554",39.9091398,-74.9886901,"https://www.cherryhilldentalexcellence.com/","cherryhilldentalexcellence.com","Thursday: [9 AM-5 PM], Friday: [Closed], Saturday: [Closed], Sunday: [Closed], Monday: [9 AM-5 PM], Tuesday: [8 AM-3 PM], Wednesday: [9 AM-5 PM]","https://lh5.googleusercontent.com/p/AF1QipPi0l_yNjtTV_v5s3PC6jkj7Ud15Ukgxi4KzYOW=w163-h92-k-no","16918826332256714554","0x89c6cb424f12b2f3:0xeacbbee8ceafbf3a","ChIJ87IST0LLxokROr-vzui-y-o"
